family	number of analyses	relative abundance (max)	score (Spearman rank correlation on order level [only actual rank])
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Desulfarculales;family.Desulfarculaceae	6242	0.04451274243043709	0.40118129872058533
super kingdom.Bacteria;phylum.Firmicutes;class.Clostridia;order.Clostridiales;family.Clostridiales_Family_XIII._Incertae_Sedis	6165	0.12240363774605886	0.4436277865613384
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rickettsiales;family.Rickettsiaceae	6123	0.1925357946778222	0.4112698606195683
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Oceanospirillales;family.Oceanospirillaceae	6102	0.7781717334831145	0.38161693206152164
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Muribaculaceae	5915	0.937974097427447	0.4181995910208793
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Pasteurellales;family.Pasteurellaceae	5869	0.8358950633149985	0.3929939389005179
super kingdom.Bacteria;phylum.Proteobacteria;class.Deltaproteobacteria;order.Desulfobacterales;family.Desulfobacteraceae	5812	0.5261764369132127	0.38997269618037356
super kingdom.Bacteria;phylum.Verrucomicrobia;class.Spartobacteria;order.Chthoniobacterales;family.Chthoniobacteraceae	5772	0.45739641593425406	0.388190944141421
super kingdom.Bacteria;phylum.Proteobacteria;class.Epsilonproteobacteria;order.Campylobacterales;family.Helicobacteraceae	5756	0.9354270366172195	0.45804445244686837
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Marinilabiliales;family.Prolixibacteraceae	5696	0.1520742637644046	0.41656024282398985
super kingdom.Bacteria;phylum.Firmicutes;class.Bacilli;order.Bacillales;family.Paenibacillaceae	5695	0.44148041336217253	0.4470156544723751
super kingdom.Bacteria;phylum.Proteobacteria;class.Gammaproteobacteria;order.Alteromonadales;family.Colwelliaceae	5654	0.4762381253166061	0.3632628123215485
super kingdom.Bacteria;phylum.Chloroflexi;class.Caldilineae;order.Caldilineales;family.Caldilineaceae	5653	0.2684308732141713	0.3996329890352083
super kingdom.Bacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Nitrosomonadales;family.Methylophilaceae	5652	0.6329655659821745	0.45388928003700674
super kingdom.Bacteria;phylum.Actinobacteria;class.Coriobacteriia;order.Coriobacteriales;family.Atopobiaceae	5647	0.21277382945591214	0.4146330359382387
super kingdom.Bacteria;phylum.Bacteroidetes;class.Bacteroidia;order.Bacteroidales;family.Porphyromonadaceae	5624	0.5105942863532175	0.41798299515245085
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Actinomycetales;family.Actinomycetaceae	5605	0.561113669971637	0.41115664910798483
super kingdom.Bacteria;phylum.Proteobacteria;class.Alphaproteobacteria;order.Rhizobiales;family.Xanthobacteraceae	5600	0.17002489677888258	0.38942987458985606
super kingdom.Bacteria;phylum.Proteobacteria;class.Betaproteobacteria;order.Neisseriales;family.Neisseriaceae	5587	0.8700247228907773	0.4403857712552883
super kingdom.Bacteria;phylum.Actinobacteria;class.Actinobacteria;order.Propionibacteriales;family.Propionibacteriaceae	5574	0.9669548122235393	0.4843742414067937
